slim_id	slim_name	entrez_gene_id	Gene	direction
DOID:1612	breast cancer	55775	TDP1	up
DOID:1612	breast cancer	65094	JMJD4	up
DOID:1612	breast cancer	6728	SRP19	down
DOID:1612	breast cancer	341	APOC1	up
DOID:1612	breast cancer	4940	OAS3	up
DOID:1612	breast cancer	5981	RFC1	down
DOID:1612	breast cancer	375	ARF1	up
DOID:1612	breast cancer	216	ALDH1A1	down
DOID:1612	breast cancer	5925	RB1	down
DOID:1612	breast cancer	60685	ZFAND3	up
DOID:1612	breast cancer	6917	TCEA1	up
DOID:1612	breast cancer	274	BIN1	down
DOID:1612	breast cancer	51105	PHF20L1	down
DOID:1612	breast cancer	966	CD59	up
DOID:1612	breast cancer	4204	MECP2	down
DOID:1612	breast cancer	4239	MFAP4	down
DOID:1612	breast cancer	8562	DENR	up
DOID:1612	breast cancer	1301	COL11A1	up
DOID:1612	breast cancer	1300	COL10A1	up
DOID:1612	breast cancer	54732	TMED9	up
DOID:1612	breast cancer	4175	MCM6	up
DOID:1612	breast cancer	2335	FN1	up
DOID:1612	breast cancer	5603	MAPK13	up
DOID:1612	breast cancer	64065	PERP	up
DOID:1612	breast cancer	4141	MARS	down
DOID:1612	breast cancer	1281	COL3A1	up
DOID:1612	breast cancer	1278	COL1A2	up
DOID:1612	breast cancer	5695	PSMB7	up
DOID:1612	breast cancer	1207	CLNS1A	up
DOID:1612	breast cancer	9830	TRIM14	up
DOID:1612	breast cancer	79077	DCTPP1	up
DOID:1612	breast cancer	9871	SEC24D	down
DOID:1612	breast cancer	9877	ZC3H11A	up
DOID:1612	breast cancer	51659	GINS2	up
DOID:1612	breast cancer	8851	CDK5R1	down
DOID:1612	breast cancer	9920	KBTBD11	down
DOID:1612	breast cancer	2618	GART	down
DOID:1612	breast cancer	1072	CFL1	up
DOID:1612	breast cancer	201626	PDE12	down
DOID:1612	breast cancer	26073	POLDIP2	up
DOID:1612	breast cancer	4318	MMP9	up
DOID:1612	breast cancer	64222	TOR3A	up
DOID:1612	breast cancer	8888	MCM3AP	down
DOID:1612	breast cancer	64581	CLEC7A	up
DOID:1612	breast cancer	5311	PKD2	down
DOID:1612	breast cancer	63892	THADA	up
DOID:1612	breast cancer	27333	GOLIM4	down
